Bit Depth,Hole Depth,On Bottom ROP,Weight on Bit,Block Height,Hook Load,Rotary RPM,Rotary Torque,Standpipe Pressure,3rd Party Gas,Meters Per Hour,Minutes Per Meter,Total Pump Output,DD-MMM-YYYY,HH:MM:SS
100.46,1337.42,0,0,88.1,15.8,0,0,3698,-999.25,0,0,1.22,21-Mar-07,15:23:00
100.46,1337.42,0,0,88.1,15.8,0,0,3688,-999.25,0,0,1.22,21-Mar-07,15:23:10
100.46,1337.42,0,0,88.1,15.8,0,0,3702,-999.25,0,0,1.22,21-Mar-07,15:23:20
100.46,1337.42,0,0,88.1,15.9,0,0,3705,-999.25,0,0,1.22,21-Mar-07,15:23:30
100.46,1337.42,0,0,88.1,16.1,0,0,3705,-999.25,0,0,1.22,21-Mar-07,15:23:40
100.46,1337.42,0,0,88.1,16,0,0,1686,-999.25,0,0,0.52,21-Mar-07,15:23:50
100.46,1337.42,0,0,88.1,15.9,0,0,54,-999.25,0,0,0.18,21-Mar-07,15:24:00
100.46,1337.42,0,0,88.1,15.9,0,0,0,-999.25,0,0,0.02,21-Mar-07,15:24:10
100.46,1337.42,0,0,88.1,15.7,0,0,0,-999.25,0,0,0,21-Mar-07,15:24:20
100.46,1337.42,0,0,88.1,15.7,0,0,0,-999.25,0,0,0,21-Mar-07,15:24:30
100.46,1337.42,0,0,88.1,15.8,0,0,0,-999.25,0,0,0,21-Mar-07,15:24:40
100.46,1337.42,0,0,88.1,15.7,0,0,0,-999.25,0,0,0,21-Mar-07,15:24:50
100.46,1337.42,0,0,88.1,17.3,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:00
100.46,1337.42,0,0,85.8,17.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:10
100.46,1337.42,0,0,84.4,16.7,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:20
100.46,1337.42,0,0,84.2,16.8,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:30
100.46,1337.42,0,0,84.1,16.8,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:40
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:25:50
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:00
100.46,1337.42,0,0,83.9,16.3,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:10
100.46,1337.42,0,0,83.9,16.3,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:20
100.46,1337.42,0,0,83.9,16.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:30
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:40
100.46,1337.42,0,0,83.9,16.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:26:50
100.46,1337.42,0,0,83.9,16.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:00
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:10
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:20
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:30
100.46,1337.42,0,0,83.9,16.6,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:40
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:27:50
100.46,1337.42,0,0,83.9,16,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:00
100.46,1337.42,0,0,83.9,16.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:10
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:20
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:30
100.46,1337.42,0,0,83.9,16.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:40
100.46,1337.42,0,0,83.9,16.1,0,0,0,-999.25,0,0,0,21-Mar-07,15:28:50
100.46,1337.42,0,0,84,17.4,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:00
100.46,1337.42,0,0,84.8,15.9,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:10
100.46,1337.42,0,0,84.8,16.9,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:20
100.46,1337.42,0,0,84.6,13.7,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:30
100.46,1337.42,0,0,84.6,13.4,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:40
100.46,1337.42,0,0,84.6,13.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:29:50
100.46,1337.42,0,0,84.6,13.2,0,0,0,-999.25,0,0,0,21-Mar-07,15:30:00
100.46,1337.42,0,0,84.6,12.9,0,0,0,-999.25,0,0,0,21-Mar-07,15:30:10
100.46,1337.42,0,0,84.6,13,0,0,0,-999.25,0,0,0,21-Mar-07,15:30:20
